"BY RELIGION, SEX AND RURAL/URBAN",,,,,,,,,,,,


Id,Division,District,Tehsil,Area,Sex,Total,Muslim,Christian,HinduJati,QadianiAhmadi,Scheduled_Castes,Others
1,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR DISTRICT,TOTAL,BOTH SEXES,2061447,2043822,12094,1482,3667,121,261
2,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR DISTRICT,TOTAL,MALE,1067411,1058425,6243,742,1803,54,144
3,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR DISTRICT,TOTAL,FEMALE,994036,985397,5851,740,1864,67,117
4,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR DISTRICT,RURAL,BOTH SEXES,1668646,1656884,8063,201,3191,107,200
5,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR DISTRICT,RURAL,MALE,864501,858452,4184,100,1602,48,115
6,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR DISTRICT,RURAL,FEMALE,804145,798432,3879,101,1589,59,85
7,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR DISTRICT,URBAN,BOTH SEXES,392801,386938,4031,1281,476,14,61
8,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR DISTRICT,URBAN,MALE,202910,199973,2059,642,201,6,29
9,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR DISTRICT,URBAN,FEMALE,189891,186965,1972,639,275,8,32
10,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR TEHSIL,TOTAL,BOTH SEXES,541553,538416,1980,708,354,19,76
11,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR TEHSIL,TOTAL,MALE,282987,281422,1022,344,153,6,40
12,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR TEHSIL,TOTAL,FEMALE,258566,256994,958,364,201,13,36
13,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR TEHSIL,RURAL,BOTH SEXES,407768,406442,1194,11,89,11,21
14,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR TEHSIL,RURAL,MALE,213659,212976,619,4,45,2,13
15,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR TEHSIL,RURAL,FEMALE,194109,193466,575,7,44,9,8
16,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR TEHSIL,URBAN,BOTH SEXES,133785,131974,786,697,265,8,55
17,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR TEHSIL,URBAN,MALE,69328,68446,403,340,108,4,27
18,BAHAWALPUR,BAHAWALNAGAR,BAHAWALNAGAR TEHSIL,URBAN,FEMALE,64457,63528,383,357,157,4,28
19,BAHAWALPUR,BAHAWALNAGAR,CHISHTIAN TEHSIL,TOTAL,BOTH SEXES,498270,493320,3676,50,1163,25,36
20,BAHAWALPUR,BAHAWALNAGAR,CHISHTIAN TEHSIL,TOTAL,MALE,256122,253577,1899,22,594,9,21
21,BAHAWALPUR,BAHAWALNAGAR,CHISHTIAN TEHSIL,TOTAL,FEMALE,242148,239743,1777,28,569,16,15
22,BAHAWALPUR,BAHAWALNAGAR,CHISHTIAN TEHSIL,RURAL,BOTH SEXES,395983,392706,2058,46,1119,21,33
23,BAHAWALPUR,BAHAWALNAGAR,CHISHTIAN TEHSIL,RURAL,MALE,203695,201994,1074,22,576,8,21
24,BAHAWALPUR,BAHAWALNAGAR,CHISHTIAN TEHSIL,RURAL,FEMALE,192288,190712,984,24,543,13,12
25,BAHAWALPUR,BAHAWALNAGAR,CHISHTIAN TEHSIL,URBAN,BOTH SEXES,102287,100614,1618,4,44,4,3
26,BAHAWALPUR,BAHAWALNAGAR,CHISHTIAN TEHSIL,URBAN,MALE,52427,51583,825,-,18,1,-
27,BAHAWALPUR,BAHAWALNAGAR,CHISHTIAN TEHSIL,URBAN,FEMALE,49860,49031,793,4,26,3,3
28,BAHAWALPUR,BAHAWALNAGAR,FORTABBAS TEHSIL,TOTAL,BOTH SEXES,285596,282252,2039,142,1076,64,23
29,BAHAWALPUR,BAHAWALNAGAR,FORTABBAS TEHSIL,TOTAL,MALE,147371,145714,1021,73,512,34,17
30,BAHAWALPUR,BAHAWALNAGAR,FORTABBAS TEHSIL,TOTAL,FEMALE,138225,136538,1018,69,564,30,6
31,BAHAWALPUR,BAHAWALNAGAR,FORTABBAS TEHSIL,RURAL,BOTH SEXES,250959,248209,1530,131,1003,64,22
32,BAHAWALPUR,BAHAWALNAGAR,FORTABBAS TEHSIL,RURAL,MALE,129548,128175,766,68,488,34,17
